OrderID,OrderDate,Week,Month,Year,ProductID,ProductCategory,ProductName,UnitsSold,UnitPrice,Revenue,CostPerUnit,Profit,StoreID,Region,PromotionApplied,Holiday,CustomerSegment,Temperature,FootTraffic,ProfitPerUnit,ProfitMargin
ORD00034,2022-10-04,40,10,2022,BO_934,Books,Novel,14.0,457.36,6403.04,319.94,1923.88,STORE_17,West,Yes,No,Wholesale,22.1,81.0,137.42000000000002,30.046352982333392
ORD00035,2022-09-25,38,9,2022,BO_529,Books,Comics,10.0,392.64,3926.3999999999996,275.13,1175.0999999999995,STORE_31,West,False,No,Retail,9.4,98.0,117.50999999999995,29.92817848410757
ORD00036,2021-02-19,7,2,2021,GR_135,Grocery,Eggs,5.0,200.1,1000.5,159.19,204.54999999999995,STORE_30,South,False,No,Retail,20.4,108.0,40.90999999999999,20.444777611194397
ORD00037,2021-02-18,7,2,2021,EL_888,Electronics,Headphones,12.0,64.95,779.4000000000001,32.61,388.0800000000001,STORE_37,East,False,No,Retail,18.1,96.0,32.34000000000001,49.79214780600463
ORD00038,2023-04-26,17,4,2023,GR_899,Grocery,Milk,4.0,243.02,972.08,154.03,355.96000000000004,STORE_37,East,Yes,No,Online,11.5,100.0,88.99000000000001,36.61838531808082
ORD00039,2022-05-06,18,5,2022,CL_166,Clothng,Unknown Product,13.0,115.25,1498.25,67.63,619.0600000000001,STORE_21,North,False,No,Wholesale,32.8,84.0,47.620000000000005,41.318872017353584
ORD00040,2023-01-15,2,1,2023,GR_201,Grocery,Bread,12.0,401.89,4822.68,265.55,1636.08,STORE_5,West,No,No,Wholesale,33.9,97.0,136.34,33.92470576525915
ORD00041,2022-08-29,35,8,2022,GR_535,Grocery,Eggs,8.0,285.79,2286.32,202.8,663.9200000000001,STORE_10,West,Yes,No,Online,17.4,86.0,82.99000000000001,29.03880471675006
ORD00042,2021-08-01,30,8,2021,BO_734,Books,Novel,10.0,331.05,3310.5,216.2,1148.5,STORE_49,East,Yes,No,Wholesale,24.3,104.0,114.85,34.69264461561698
ORD00043,2021-11-14,45,11,2021,GR_470,Grocery,Bread,14.0,242.67,3397.3799999999997,148.54,1317.8199999999997,STORE_43,East,Yes,No,Retail,30.5,100.0,94.12999999999998,38.78930234474801
ORD00044,2023-04-23,16,4,2023,BO_308,Books,Textbook,9.0,191.44,1722.96,136.79,491.85000000000014,STORE_20,South,No,No,Retail,27.3,122.0,54.65000000000001,28.546803175929803
ORD00045,2024-05-26,21,5,2024,EL_762,Electrnics,Unknown Product,8.0,134.45,1075.6,99.45,279.9999999999999,STORE_15,East,No,No,Retail,9.7,122.0,34.999999999999986,26.031982149497946
ORD00046,2022-02-14,7,2,2022,HO_164,Home,Vacuum,11.0,447.58,4923.38,334.78,1240.8000000000002,STORE_33,East,False,No,Wholesale,19.4,100.0,112.80000000000001,25.202198489655487
ORD00047,2022-07-25,30,7,2022,BO_440,Books,Textbook,7.0,251.4,1759.8,178.04,513.52,STORE_48,East,Yes,No,Retail,16.7,105.0,73.36,29.180588703261733
ORD00048,2024-11-08,45,11,2024,EL_788,Electrnics,Unknown Product,8.0,453.89,3631.12,339.58,914.48,STORE_29,South,False,No,Retail,13.6,87.0,114.31,25.184516072176077
ORD00049,2022-07-20,29,7,2022,HO_671,Home,Lamp,8.0,33.63,269.04,23.5,81.04000000000002,STORE_29,South,False,No,Retail,24.2,104.0,10.130000000000003,30.12191495688374
ORD00050,2024-08-01,31,8,2024,HO_780,Home,Vacuum,11.0,28.6,314.6,19.56,99.44000000000003,STORE_25,East,False,No,Wholesale,15.4,87.0,9.040000000000003,31.60839160839161
ORD00051,2023-09-27,39,9,2023,EL_329,Electrnics,Unknown Product,9.0,330.8,2977.2000000000003,258.89,647.1900000000005,STORE_18,South,Yes,No,Online,15.2,105.0,71.91000000000005,21.738210399032663
ORD00052,2022-05-23,21,5,2022,EL_114,Electrnics,Unknown Product,7.0,276.43,1935.01,156.46,839.79,STORE_11,South,False,No,Retail,15.3,114.0,119.97,43.39977571175343
ORD00053,2021-02-27,8,2,2021,HO_607,Home,Lamp,8.0,89.09,712.72,59.66,235.44000000000005,STORE_44,West,False,No,Retail,16.0,100.0,29.430000000000007,33.03401055112808
ORD00054,2023-09-02,35,9,2023,EL_699,Electrnics,Unknown Product,10.0,278.68,2786.8,143.45,1352.3000000000002,STORE_17,West,False,No,Retail,16.8,87.0,135.23000000000002,48.52519018228793
ORD00055,2022-07-10,27,7,2022,TO_711,Toys,Puzzle,10.0,156.06,1560.6,111.32,447.4000000000001,STORE_31,South,False,No,Wholesale,26.5,102.0,44.74000000000001,28.668460848391653
ORD00056,2022-05-13,19,5,2022,EL_874,Electrnics,Unknown Product,10.0,483.54,4835.400000000001,372.83,1107.1000000000008,STORE_35,East,Yes,No,Retail,19.2,117.0,110.71000000000008,22.895727344170094
ORD00057,2022-05-22,20,5,2022,CL_298,Clothng,Unknown Product,12.0,186.98,2243.7599999999998,131.13,670.1999999999998,STORE_25,North,No,No,Retail,-0.7,101.0,55.84999999999999,29.86950475986736
ORD00058,2023-12-15,50,12,2023,CL_994,Clothing,Sneakers,8.0,422.84,3382.72,235.07,1502.1599999999999,STORE_48,North,Yes,No,Retail,14.6,100.0,187.76999999999998,44.40686784599375
ORD00059,2022-06-25,25,6,2022,GR_286,Grocery,Bread,11.0,389.3,4282.3,266.12,1354.98,STORE_41,East,False,No,Retail,21.4,96.0,123.18,31.641407654764965
ORD00060,2023-08-11,32,8,2023,CL_892,Clothing,Sneakers,8.0,14.68,117.44,11.52,25.28,STORE_12,South,Yes,No,Wholesale,8.7,102.0,3.16,21.52588555858311
ORD00061,2024-01-16,3,1,2024,HO_393,Home,Vacuum,12.0,170.78,2049.36,110.65,721.56,STORE_7,East,False,No,Online,37.8,90.0,60.129999999999995,35.2090408712964
ORD00062,2022-06-21,25,6,2022,BO_338,Books,Textbook,8.0,497.48,3979.84,355.9,1132.6400000000003,STORE_27,East,False,No,Retail,22.7,101.0,141.58000000000004,28.459435555198205
ORD00063,2021-07-24,29,7,2021,BO_812,Books,Novel,7.0,180.12,1260.8400000000001,137.02,301.70000000000005,STORE_14,West,No,No,Retail,28.7,92.0,43.10000000000001,23.92849211636687
ORD00064,2023-04-26,17,4,2023,GR_320,Grocery,Bread,7.0,427.82,2994.74,251.72,1232.6999999999998,STORE_12,South,No,No,Wholesale,23.7,88.0,176.09999999999997,41.162171006498056
ORD00065,2022-01-07,1,1,2022,EL_221,Electrnics,Unknown Product,6.0,348.8,2092.8,246.19,615.6600000000003,STORE_35,South,False,No,Retail,16.3,93.0,102.61000000000006,29.418004587155977
ORD00066,2022-03-18,11,3,2022,TO_897,Toys,Doll,11.0,355.56,3911.16,254.45,1112.21,STORE_20,South,No,No,Wholesale,26.5,101.0,101.11,28.43683203959951
ORD00067,2024-01-29,5,1,2024,HO_491,Home,Blender,9.0,37.09,333.81000000000006,24.71,111.42000000000004,STORE_19,North,No,No,Online,8.3,104.0,12.380000000000004,33.37826907522244
ORD00068,2021-12-16,50,12,2021,CL_561,Clothing,Jacket,15.0,445.93,6688.95,316.31,1944.3000000000002,STORE_20,South,No,No,Online,28.3,118.0,129.62,29.067342408001256
ORD00069,2024-07-01,27,7,2024,TO_826,Toys,Doll,11.0,405.98,4465.780000000001,217.35,2074.9300000000007,STORE_31,North,Yes,No,Wholesale,-1.0,90.0,188.63000000000008,46.462879944824884
ORD00070,2022-04-07,14,4,2022,BO_213,Books,Biography,11.0,426.28,4689.08,319.92,1169.9599999999996,STORE_34,South,No,No,Retail,22.8,98.0,106.35999999999996,24.950736605048316
ORD00071,2024-06-16,24,6,2024,HO_167,Home,Lamp,8.0,147.09,1176.72,112.13,279.68000000000006,STORE_12,East,No,No,Retail,15.8,101.0,34.96000000000001,23.767761234618266
ORD00072,2024-01-17,3,1,2024,HO_894,Home,Vacuum,11.0,87.75,965.25,60.28,302.16999999999996,STORE_30,South,False,No,Wholesale,8.2,101.0,27.469999999999995,31.3048433048433
ORD00073,2023-04-27,17,4,2023,EL_139,Electronics,Laptop,8.0,456.86,3654.88,232.61,1794.0,STORE_30,West,Yes,No,Retail,16.1,109.0,224.25,49.08505888018211
ORD00074,2021-12-20,51,12,2021,EL_575,Electronics,Smartphone,6.0,420.49,2522.94,319.34,606.9000000000001,STORE_20,West,Yes,No,Retail,26.5,116.0,101.15000000000002,24.05526885300483
ORD00075,2023-09-30,39,9,2023,GR_120,Grocery,Eggs,7.0,327.02,2289.14,232.76,659.8199999999999,STORE_2,West,False,No,Retail,-2.0,83.0,94.25999999999999,28.823925142193136
ORD00076,2021-09-19,37,9,2021,HO_297,Home,Blender,13.0,276.64,3596.3199999999997,197.58,1027.7799999999997,STORE_23,North,False,No,Retail,21.5,91.0,79.05999999999997,28.578658183921334
ORD00077,2023-02-17,7,2,2023,EL_530,Electrnics,Unknown Product,12.0,303.27,3639.24,217.78,1025.8799999999997,STORE_14,East,Yes,No,Online,27.7,94.0,85.48999999999997,28.18940218287334
ORD00078,2024-01-06,1,1,2024,CL_716,Clothing,Sneakers,15.0,361.63,5424.45,263.72,1468.6499999999996,STORE_20,North,Yes,No,Online,14.5,88.0,97.90999999999998,27.07463429472112
ORD00079,2021-10-14,41,10,2021,CL_741,Clothng,Unknown Product,11.0,65.84,724.24,39.79,286.55,STORE_40,East,Yes,No,Retail,36.2,109.0,26.05,39.565613608748485
ORD00080,2022-03-06,9,3,2022,CL_313,Clothing,Sneakers,9.0,174.88,1573.92,123.44,462.96000000000004,STORE_36,West,Yes,No,Wholesale,29.1,107.0,51.440000000000005,29.414455626715462
ORD00081,2022-04-27,17,4,2022,EL_478,Electronics,Laptop,12.0,70.94,851.28,54.7,194.87999999999988,STORE_26,West,Yes,No,Retail,25.1,97.0,16.23999999999999,22.89258528333802
ORD00082,2022-06-14,24,6,2022,EL_367,Electronics,Headphones,9.0,499.4,4494.599999999999,270.53,2059.83,STORE_18,East,No,No,Online,20.5,100.0,228.87,45.82899479375251
ORD00083,2022-05-19,20,5,2022,EL_876,Electrnics,Unknown Product,11.0,191.17,2102.87,147.51,480.26,STORE_32,East,No,No,Retail,27.0,90.0,43.66,22.838311450541404
ORD00084,2021-08-16,33,8,2021,CL_248,Clothng,Unknown Product,12.0,221.44,2657.2799999999997,114.97,1277.6399999999999,STORE_21,North,False,No,Online,16.4,87.0,106.46999999999998,48.08074421965318
ORD00085,2024-01-26,4,1,2024,HO_843,Home,Microwave,10.0,28.21,282.1,15.14,130.70000000000002,STORE_39,West,Yes,No,Wholesale,18.2,100.0,13.070000000000002,46.33108826657214
ORD00086,2024-12-27,52,12,2024,GR_462,Grocery,Milk,7.0,356.93,2498.51,231.52,877.8700000000001,STORE_7,East,No,Yes,Online,22.2,92.0,125.41000000000001,35.135740901577336
ORD00087,2022-03-05,9,3,2022,EL_817,Electronics,Smartphone,9.0,457.92,4121.28,247.44,1894.3199999999997,STORE_12,East,Yes,No,Wholesale,11.3,102.0,210.47999999999996,45.96436058700209
ORD00088,2023-08-07,32,8,2023,CL_380,Clothng,Unknown Product,17.0,409.23,6956.91,318.4,1544.1100000000006,STORE_49,West,False,No,Online,15.7,112.0,90.83000000000004,22.195342472448264
ORD00089,2024-07-10,28,7,2024,EL_130,Electrnics,Unknown Product,10.0,62.07,620.7,44.22,178.50000000000006,STORE_13,North,No,No,Wholesale,27.0,102.0,17.850000000000005,28.75785403576608
ORD00090,2021-01-23,3,1,2021,EL_813,Electrnics,Unknown Product,14.0,310.93,4353.02,167.88,2002.7000000000007,STORE_15,South,False,No,Retail,31.9,120.0,143.05000000000004,46.00713987071046
ORD00091,2021-10-08,40,10,2021,HO_777,Home,Lamp,12.0,405.06,4860.72,257.58,1769.7600000000002,STORE_26,North,False,No,Retail,29.6,103.0,147.48000000000002,36.40942082654422
ORD00092,2023-12-16,50,12,2023,BO_894,Books,Novel,16.0,23.34,373.44,17.9,87.04000000000002,STORE_33,North,False,No,Retail,32.2,107.0,5.440000000000001,23.3076263924593
ORD00093,2023-01-26,4,1,2023,HO_199,Home,Microwave,9.0,44.54,400.86,24.0,184.86,STORE_35,West,False,No,Retail,35.3,104.0,20.540000000000003,46.115850920520884
ORD00094,2022-04-24,16,4,2022,TO_229,Toys,Action Figure,10.0,27.16,271.6,15.52,116.40000000000003,STORE_31,West,False,No,Retail,24.6,99.0,11.640000000000004,42.85714285714287
ORD00095,2023-12-24,51,12,2023,HO_304,Home,Blender,13.0,149.57,1944.4099999999999,84.93,840.3199999999997,STORE_30,North,No,No,Retail,33.0,95.0,64.63999999999997,43.217222705087906
ORD00096,2023-10-15,41,10,2023,EL_659,Electronics,Tablet,6.0,409.61,2457.66,314.57,570.2399999999998,STORE_22,North,Yes,No,Wholesale,6.9,109.0,95.03999999999996,23.20255853128585
ORD00097,2022-06-28,26,6,2022,CL_543,Clothng,Unknown Product,9.0,349.35,3144.15,203.95,1308.6000000000001,STORE_25,East,No,No,Online,26.3,102.0,145.4,41.62015171031917
ORD00098,2022-04-04,14,4,2022,CL_479,Clothng,Unknown Product,9.0,75.66,680.9399999999999,53.45,199.88999999999993,STORE_45,West,Yes,No,Retail,11.9,99.0,22.209999999999994,29.35500925191646
ORD00099,2021-02-20,7,2,2021,GR_849,Grocery,Cereal,9.0,300.1,2700.9,239.87,542.0700000000002,STORE_44,North,False,No,Online,29.7,108.0,60.23000000000002,20.069976674441858
ORD00100,2023-07-25,30,7,2023,EL_821,Electronics,Laptop,11.0,293.48,3228.28,160.4,1463.88,STORE_23,South,Yes,No,Retail,21.8,111.0,133.08,45.34550906364999
ORD00101,2021-03-09,10,3,2021,BO_768,Books,Novel,12.0,305.64,3667.68,227.07,942.8399999999997,STORE_30,North,Yes,No,Retail,10.5,112.0,78.56999999999998,25.706713780918722
ORD00102,2021-06-28,26,6,2021,TO_298,Toys,Puzzle,11.0,210.79,2318.69,136.7,814.9900000000002,STORE_47,East,False,No,Retail,27.7,93.0,74.09000000000002,35.148726220408946
ORD00103,2024-12-12,50,12,2024,EL_397,Electrnics,Unknown Product,8.0,219.86,1758.88,160.86,472.0,STORE_11,South,False,No,Retail,19.7,91.0,59.0,26.835258801055218
ORD00104,2021-11-28,47,11,2021,HO_239,Home,Microwave,15.0,211.56,3173.4,159.86,775.5,STORE_49,South,False,No,Online,28.2,87.0,51.7,24.437511816978635
ORD00105,2023-05-20,20,5,2023,CL_486,Clothing,T-Shirt,12.0,209.61,2515.32,143.69,791.0400000000002,STORE_1,North,False,No,Retail,28.9,124.0,65.92000000000002,31.448881255665288
ORD00106,2022-06-27,26,6,2022,EL_766,Electronics,Smartphone,9.0,239.52,2155.6800000000003,138.97,904.9500000000003,STORE_42,West,Yes,No,Retail,31.2,114.0,100.55000000000003,41.97979291917168
ORD00107,2021-12-22,51,12,2021,CL_322,Clothng,Unknown Product,9.0,81.3,731.6999999999999,60.35,188.54999999999995,STORE_6,South,False,No,Online,37.3,96.0,20.949999999999996,25.768757687576873
ORD00108,2024-07-01,27,7,2024,CL_684,Clothng,Unknown Product,10.0,123.21,1232.1,97.39,258.19999999999993,STORE_39,East,No,No,Retail,10.9,84.0,25.819999999999993,20.956091226361494
ORD00109,2022-10-31,44,10,2022,EL_689,Electronics,Tablet,9.0,133.65,1202.8500000000001,89.8,394.6500000000002,STORE_12,South,Yes,No,Retail,29.8,102.0,43.85000000000002,32.80957725402171
ORD00110,2021-10-15,41,10,2021,GR_762,Grocery,Milk,7.0,201.23,1408.61,131.35,489.15999999999997,STORE_45,West,No,No,Online,33.2,120.0,69.88,34.72643244049098
ORD00111,2023-04-11,15,4,2023,EL_759,Electronics,Smartphone,8.0,154.63,1237.04,120.85,270.24,STORE_21,West,No,No,Retail,33.8,87.0,33.78,21.845696177973227
ORD00112,2022-03-04,9,3,2022,GR_356,Grocery,Eggs,14.0,103.54,1449.5600000000002,82.46,295.12000000000035,STORE_26,West,False,No,Online,28.1,89.0,21.080000000000023,20.35928143712577
ORD00113,2021-01-25,4,1,2021,EL_984,Electrnics,Unknown Product,13.0,455.06,5915.78,332.59,1592.1099999999997,STORE_34,North,No,No,Retail,25.5,106.0,122.46999999999997,26.91293455808025
ORD00114,2022-12-03,48,12,2022,EL_510,Electronics,Smartphone,13.0,353.48,4595.24,187.63,2156.0499999999997,STORE_47,West,No,No,Retail,24.5,92.0,165.84999999999997,46.919203349553015
ORD00115,2022-05-10,19,5,2022,CL_344,Clothng,Unknown Product,12.0,394.43,4733.16,261.6,1593.9599999999996,STORE_14,East,False,No,Retail,11.2,86.0,132.82999999999996,33.67644448951651
ORD00116,2023-09-18,38,9,2023,EL_538,Electronics,Tablet,10.0,399.72,3997.2000000000003,217.16,1825.6000000000004,STORE_45,East,False,No,Retail,23.9,92.0,182.56000000000003,45.67197037926549
ORD00117,2022-10-25,43,10,2022,EL_837,Electrnics,Unknown Product,10.0,270.5,2705.0,185.66,848.4000000000001,STORE_19,North,False,No,Online,21.7,87.0,84.84,31.3641404805915
ORD00118,2021-10-20,42,10,2021,BO_260,Books,Textbook,12.0,258.54,3102.4800000000005,178.25,963.4800000000005,STORE_2,North,Yes,No,Online,20.9,101.0,80.29000000000003,31.05515587529977
ORD00119,2024-07-30,31,7,2024,EL_186,Electronics,Smartphone,7.0,369.11,2583.77,264.17,734.5799999999999,STORE_7,North,False,No,Retail,16.1,95.0,104.93999999999998,28.43054915878735
ORD00120,2023-07-17,29,7,2023,CL_522,Clothing,Jeans,7.0,212.68,1488.76,138.29,520.73,STORE_9,North,False,No,Online,34.9,94.0,74.39,34.97743088207636
ORD00121,2022-04-15,15,4,2022,EL_626,Electronics,Smartphone,16.0,103.65,1658.4,67.49,578.5600000000002,STORE_23,West,False,No,Retail,7.9,107.0,36.16000000000001,34.88663772310662
ORD00122,2021-01-13,2,1,2021,EL_511,Electronics,Tablet,5.0,298.02,1490.1,214.74,416.39999999999986,STORE_24,East,No,No,Online,34.7,107.0,83.27999999999997,27.944433259512774
ORD00123,2024-07-18,29,7,2024,TO_760,Toys,Doll,10.0,277.27,2772.7,221.55,557.1999999999998,STORE_50,West,False,No,Retail,20.2,112.0,55.719999999999985,20.09593536985609
ORD00124,2024-03-24,12,3,2024,EL_825,Electronics,Headphones,4.0,391.05,1564.2,290.12,403.72,STORE_15,North,Yes,No,Wholesale,26.0,107.0,100.93,25.809998721391125
ORD00125,2022-09-08,36,9,2022,CL_168,Clothing,Jeans,8.0,174.9,1399.2,103.14,574.08,STORE_20,South,No,No,Retail,7.7,95.0,71.76,41.02915951972556
ORD00126,2023-07-05,27,7,2023,CL_302,Clothng,Unknown Product,16.0,188.01,3008.16,133.42,873.44,STORE_6,East,Yes,No,Online,11.2,111.0,54.59,29.035689590979207
ORD00127,2021-07-31,30,7,2021,EL_177,Electrnics,Unknown Product,10.0,423.87,4238.7,220.05,2038.1999999999998,STORE_36,South,False,No,Online,4.8,76.0,203.82,48.08549791209569
ORD00128,2023-04-17,16,4,2023,GR_796,Grocery,Milk,8.0,355.8,2846.4,243.4,899.2,STORE_44,South,Yes,No,Retail,12.3,122.0,112.4,31.590781337830244
ORD00129,2024-12-14,50,12,2024,GR_912,Grocery,Eggs,9.0,172.69,1554.21,132.23,364.1400000000001,STORE_25,East,No,No,Retail,25.2,86.0,40.46000000000001,23.429266315362796
ORD00130,2021-01-13,2,1,2021,HO_972,Home,Lamp,9.0,38.7,348.3,27.87,97.47,STORE_33,East,No,No,Wholesale,21.5,109.0,10.83,27.984496124031004
ORD00131,2022-10-31,44,10,2022,CL_171,Clothing,Jeans,8.0,114.03,912.24,75.72,306.48,STORE_1,North,No,No,Retail,29.8,91.0,38.31,33.59642199421205
ORD00132,2022-04-12,15,4,2022,BO_835,Books,Novel,10.0,52.46,524.6,41.25,112.10000000000002,STORE_38,South,False,No,Online,24.8,92.0,11.210000000000003,21.36866183759055
ORD00133,2023-04-12,15,4,2023,GR_123,Grocery,Eggs,8.0,52.86,422.88,30.87,175.92,STORE_19,South,No,No,Retail,9.0,99.0,21.99,41.600454029511916
ORD00134,2023-02-23,8,2,2023,BO_427,Books,Textbook,16.0,38.26,612.16,21.06,275.2,STORE_40,North,No,No,Retail,9.0,100.0,17.2,44.95556717198118
ORD00135,2022-11-02,44,11,2022,CL_134,Clothing,Sneakers,14.0,67.96,951.4399999999999,35.76,450.79999999999995,STORE_50,East,No,No,Retail,15.4,100.0,32.199999999999996,47.38081224249559
ORD00136,2024-03-21,12,3,2024,EL_130,Electronics,Tablet,16.0,202.69,3243.04,159.4,692.6399999999999,STORE_47,North,No,No,Online,25.7,90.0,43.28999999999999,21.35773841827421
ORD00137,2023-04-14,15,4,2023,CL_507,Clothng,Unknown Product,6.0,233.6,1401.6,121.42,673.0799999999999,STORE_17,West,No,No,Wholesale,16.5,100.0,112.17999999999999,48.0222602739726
ORD00138,2022-06-06,23,6,2022,EL_993,Electronics,Laptop,4.0,267.36,1069.44,188.94,313.68000000000006,STORE_48,South,False,No,Retail,19.5,116.0,78.42000000000002,29.33123877917415
